Quellzeile,Autor/Herausgeber,Erscheinungsjahr,Titel (Auflage),Ort,Vermerk im Buch,Standort (Raum),Regal,Fach,Anzahl des Exemplares in Thulb,Seitenanzahl,Teil von (Buchreihe etc)
2,"Admoni, Vladimir",1966,Der deutsche Sprachbau,,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,verfügbar in verschiedenen Auflagen (GER:ND:0052:Adm::1982)(2021 A 1302),284,
3,"Alanne, Eero",1950,Die deutsche Weinbauterminologie in althochdeutscher und mittelhochdeutscher Zeit mittelhochdeutscher Zeit mittelhochdeutscher Zeit,Helsinki,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (8 R 198B :65.1)(8 Diss.Helsinki 1949/50(2)),248,
4,"Ammer, Karl",1958,Einführung in die Sprachwissenschaft Band 1,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (	2002 A 2990),212,
5,"Andresen, Karl Gustav",1898,Sprachgebrauch und Sprachrichtigkeit im Deutschen,Leipzig,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"verfügbar in verschiedenen Auflagen, auch als E-Book (8 Gl.IX,223/5)(8 Gl.IX,223/8)(2003 A 3088)",468,
6,"Apresjan, Ju. D.",1971,Ideen und Methoden der modernen strukturellen Linguistik,Berlin,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,zwei Ausgaben verfügbar (71 A 902)(ASW:AD:2530:Apr::1971),303,
7,"Arens, Hans",1955,Sprachwissenschaft - Der Gang ihrer Entwicklung von der Antike bis zur Gegenwart,Freiburg (Breisgau),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,verfügbar in verschiedenen Auflagen (GER:LA:0259:Are::1969)(2012 NA 7803),568,
8,"Bach, H.",1943,"Die thüringisch-sächsische Kanzlersprache bis 1325 - 2. Teil: druckschwache Silben, Konsonantismus, Formenlehre",Kopenhagen,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,192,
9,"Bach, Adolf",1930,Die nassauische Sprachlandschaft,Bonn,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar (GER:UB:0408:Bac::1930)(8 Boruss.VI,1/22 :15)",57,
10,"Bacher, Josef",1905,Die deutsche Sprachinsel Lusern,Innsbruck,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar (8 Austr.II,10/20 :10)",440,
11,"von Bahder, Karl",1880,Über ein vokalisches Problem des Mitteldeutschen,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (Ltz 439),46,
12,"Barden, Birgit & Großkopf, Beate / Haas, Walter & Wagener, Peter",1998,Sprachliche Akkomodation und soziale Integration - Sächsische Übersiedler und Übersiedlerinnen im rhein-/moselfränkischen und allemannischen Sprachraum,Tübingen,Arbeitsstelle Thüringisches Wörterbuch,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,404,Phonai Band 43
13,"Bach, Adolf",1953,Geschichte der deutschen Sprache,Heidelberg,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,verfügbar in verschiedenen Auflagen (8 M 15397),308,
14,"Baldinger, Kurt",1957,Die Semasiologie - Versuch eines Überblicks,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar, auch als E-Book (2002 SA 697)",40,
15,"Bannert, Robert",1976,Mittelbairische Phonologie auf akustischer und perzeptorischer Grundlage,Malmö,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,172,
16,"Baumgärtner, Klaus",1959,Zur Syntax der Umgangssprache in Leipzig,Berlin,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar, auch als E-Book (8 R 773 :14)",131,
17,"Becker, Horst",1933,Mundart und Geschichte im Osterzgebirge,Leipzig,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar, auch als E-Book (8 Gl.IX,110/135 :6)",67,
18,"Behaghel, Otto",1953,Die deutsche Sprache,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,neuere Auflage verfügbar (GER:ME:1000:A5::1911)(2001 A 263),308,
19,"Steinitz, Wolfgang",1952,Beiträge aus der sowjetischen Sprachwissenschaft Folge 1,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (8 R 75 :13),156,
20,"Bellmann, Günter",1986,Beiträge zur Dialektologie am Mittelrhein,Stuttgart,FSU Jena Abteilung Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,284,
21,"Benesch, Irmfried",1938,Lautgeographie der Schönhengster Mundarten,Brünn,Landesstelle für thüringische Mundartenforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,"einmal verfügbar (8 Gl.IX,241 :3)",186,
22,"Beranek, Franz J.",1955,Mitteilungen aus dem Arbeitskreis für Jiddistik,Butsbach,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,in einem Zeitschriftenband vorhanden (8 Z 1796 :1.1955/59),92,
23,"Bergmann, Gunter",1965,Das Vorerzgebirgische - Mundart und Umgangssprache im Industriegebiet um Karl-Marx-Stadt bis Zwickau,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,x,Kartenband,
24,"Bergmann, Gunter",1964,Mundarten und Mundartforschung ,Leipzig,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links vorn,1. von oben,einmal verfügbar (GER:MB:1000:::1964)(8 S 8809),88,
