Quellzeile,Autor/Herausgeber,Erscheinungsjahr,Titel (Auflage),Ort,Vermerk im Buch,Standort (Raum),Regal,Fach,Anzahl des Exemplares in Thulb,Seitenanzahl,Teil von (Buchreihe etc)
339,"Reichardt, Edinhard",,Mappe mit zwei Artikeln,,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,,,
370,Sellmann,,Mappe mit losen Seiten,,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,,,
371,Schlothainer,,Mappe mit losen Seiten,,,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,,,
372,"Schmitt, Ludwig Erich",1964,Deutsche Wortforschung in europäischen Bezügen Band 4,Gießen,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,,691,
373,"Schmitt, Ludwig Erich",1968,Deutsche Wortforschung in europäischen Bezügen Band 5,Gießen,,E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,,501,
374,"Schmitt, Ludwig Erich",1972,"Deutsche Wortforschung in europäischen Bezügen Band 6,1",Gießen,"Friedrich-Schiller-Universität Jena, Sektion Sprachwissenschaft, WB Germansitik, Abt. Mundartforschung / Thür. Wörterbuch",E 006 Handbibliothek Dialektologie,links das zweite Regal,3. von oben,,568,
375,"Schmidt, Franz",1959,Logik der Syntax,Berlin,Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,4. von oben,,128,
376,"Schmidt, Veronika",1968,Die Streckformen des deutschen Verbums,Halle (Saale),FSU Jena Sektion Sprachwissenschaft Wissenschaftsbereich Deutsch Abt. Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,4. von oben,,144,
377,"Schmidt, Bernhard",1894,Der Vocalismus der Siegerländer Mundart. Ein Beitrag zur frankischen Dialektforshcung,Halle (Saale),Institut für Mundartforschung,E 006 Handbibliothek Dialektologie,links das zweite Regal,4. von oben,,139,
378,"Schmidt, Johannes",1872,Die Verwandtschaftsverhältnisse der indogermanischen Sprachen,Weimar,Landesstelle für Thüringische Mundartforschung Jena,E 006 Handbibliothek Dialektologie,links das zweite Regal,4. von oben,,68,
